# small 1 server
# AVG	MIN	MAX
1971.75	1912	2024
2091.833333	1909	2205
2180.333333	1131	2634
2334.5	2018	2655
2287.05	1703	2439
2465.9	1955	2794
2439.628571	1835	2777
2703.6875	2206	3031
3210.972222	2822	3457
3041.74	1961	3462
3127.848485	2406	3360
3401.958333	2483	3830
3247.884615	2684	3642
3538.057143	2794	5454
3562.416667	2679	3815
3506.05	2600	6818
3884.277778	3150	5470
3349.042105	2596	5840
3288.03	855	4212
3820.345238	3012	6659
3658.123077	2699	7100
3718.565217	2947	6807
3760.625	2599	6544
4147.088	2937	6167
4360.858974	3658	5284
4216.659259	2592	7156
4337.564286	3352	5147
4388.344828	3748	4868
4674.858333	3032	10027
4033.031915	1772	5393
4592.203125	4137	4817


# small 3 servers
# AVG	MIN	MAX 
1950.8	1751	2049
1978.2	1817	2173
1966.533333	1712	2485
1947.631579	1577	2559
1939.428571	942	2316
2027.708333	940	2524
1925.8	825	2482
2111.0625	1549	2776
2041.305556	1539	2253
2067.341463	1547	2702
2293.647059	1645	2853
2310.895833	892	3044
2281.596491	1028	2739
2343.964286	924	2996
2283.507692	1476	2663
2431.028986	1830	6112
2465.445946	1440	3450
2373.809524	922	6772
2506.347368	1147	5850
2542.287671	835	3956
2586.384615	1769	3329
2624.735632	1869	5936
2915.259615	996	3722
2734.465517	996	3557
2886.631148	2020	3507
2868.606557	1950	3745
3075.641026	1608	7437
3035.395833	1040	3527
3081.234783	1040	5272
2982.56	2194	3667
3121.904	1957	6518
3150.867925	2351	4725
